 Hertz,Farad,V across C
        200.00000000,    .000001978929164,        431.87529947
        200.36000000,    .000001971824208,        432.65267501
        200.72000000,    .000001964757447,        433.43005055
        201.08000000,    .000001957728608,        434.20742609
        201.44000000,    .000001950737419,        434.98480162
        201.80000000,    .000001943783612,        435.76217716
        202.16000000,    .000001936866922,        436.53955270
        202.52000000,    .000001929987085,        437.31692824
        202.88000000,    .000001923143838,        438.09430378
        203.24000000,    .000001916336924,        438.87167932
        203.60000000,    .000001909566085,        439.64905486
        203.96000000,    .000001902831068,        440.42643040
        204.32000000,    .000001896131619,        441.20380594
        204.68000000,    .000001889467489,        441.98118148
        205.04000000,    .000001882838429,        442.75855702
        205.40000000,    .000001876244195,        443.53593255
        205.76000000,    .000001869684543,        444.31330809
        206.12000000,    .000001863159231,        445.09068363
        206.48000000,    .000001856668020,        445.86805917
        206.84000000,    .000001850210673,        446.64543471
        207.20000000,    .000001843786955,        447.42281025
        207.56000000,    .000001837396633,        448.20018579
        207.92000000,    .000001831039475,        448.97756133
        208.28000000,    .000001824715252,        449.75493687
        208.64000000,    .000001818423738,        450.53231241
        209.00000000,    .000001812164707,        451.30968794
        209.36000000,    .000001805937936,        452.08706348
        209.72000000,    .000001799743203,        452.86443902
        210.08000000,    .000001793580290,        453.64181456
        210.44000000,    .000001787448978,        454.41919010
        210.80000000,    .000001781349052,        455.19656564
        211.16000000,    .000001775280299,        455.97394118
        211.52000000,    .000001769242505,        456.75131672
        211.88000000,    .000001763235462,        457.52869226
        212.24000000,    .000001757258959,        458.30606780
        212.60000000,    .000001751312792,        459.08344333
        212.96000000,    .000001745396754,        459.86081887
        213.32000000,    .000001739510642,        460.63819441
        213.68000000,    .000001733654256,        461.41556995
        214.04000000,    .000001727827395,        462.19294549
        214.40000000,    .000001722029861,        462.97032103
        214.76000000,    .000001716261458,        463.74769657
        215.12000000,    .000001710521990,        464.52507211
        215.48000000,    .000001704811265,        465.30244765
        215.84000000,    .000001699129091,        466.07982319
        216.20000000,    .000001693475278,        466.85719873
        216.56000000,    .000001687849637,        467.63457426
        216.92000000,    .000001682251982,        468.41194980
        217.28000000,    .000001676682127,        469.18932534
        217.64000000,    .000001671139889,        469.96670088
        218.00000000,    .000001665625085,        470.74407642
        218.36000000,    .000001660137535,        471.52145196
        218.72000000,    .000001654677059,        472.29882750
        219.08000000,    .000001649243479,        473.07620304
        219.44000000,    .000001643836620,        473.85357858
        219.80000000,    .000001638456305,        474.63095412
        220.16000000,    .000001633102362,        475.40832965
        220.52000000,    .000001627774619,        476.18570519
        220.88000000,    .000001622472905,        476.96308073
        221.24000000,    .000001617197050,        477.74045627
        221.60000000,    .000001611946888,        478.51783181
        221.96000000,    .000001606722250,        479.29520735
        222.32000000,    .000001601522972,        480.07258289
        222.68000000,    .000001596348891,        480.84995843
        223.04000000,    .000001591199843,        481.62733397
        223.40000000,    .000001586075668,        482.40470951
        223.76000000,    .000001580976205,        483.18208505
        224.12000000,    .000001575901296,        483.95946058
        224.48000000,    .000001570850783,        484.73683612
        224.84000000,    .000001565824510,        485.51421166
        225.20000000,    .000001560822323,        486.29158720
        225.56000000,    .000001555844068,        487.06896274
        225.92000000,    .000001550889592,        487.84633828
        226.28000000,    .000001545958744,        488.62371382
        226.64000000,    .000001541051374,        489.40108936
        227.00000000,    .000001536167334,        490.17846490
        227.36000000,    .000001531306475,        490.95584044
        227.72000000,    .000001526468652,        491.73321597
        228.08000000,    .000001521653718,        492.51059151
        228.44000000,    .000001516861530,        493.28796705
        228.80000000,    .000001512091945,        494.06534259
        229.16000000,    .000001507344821,        494.84271813
        229.52000000,    .000001502620016,        495.62009367
        229.88000000,    .000001497917392,        496.39746921
        230.24000000,    .000001493236809,        497.17484475
        230.60000000,    .000001488578130,        497.95222029
        230.96000000,    .000001483941220,        498.72959583
        231.32000000,    .000001479325941,        499.50697137
        231.68000000,    .000001474732160,        500.28434690
        232.04000000,    .000001470159744,        501.06172244
        232.40000000,    .000001465608560,        501.83909798
        232.76000000,    .000001461078477,        502.61647352
        233.12000000,    .000001456569364,        503.39384906
        233.48000000,    .000001452081094,        504.17122460
        233.84000000,    .000001447613536,        504.94860014
        234.20000000,    .000001443166565,        505.72597568
        234.56000000,    .000001438740054,        506.50335122
        234.92000000,    .000001434333876,        507.28072676
        235.28000000,    .000001429947910,        508.05810229
        235.64000000,    .000001425582029,        508.83547783
        236.00000000,    .000001421236113,        509.61285337
        236.36000000,    .000001416910040,        510.39022891
        236.72000000,    .000001412603688,        511.16760445
        237.08000000,    .000001408316939,        511.94497999
        237.44000000,    .000001404049674,        512.72235553
        237.80000000,    .000001399801774,        513.49973107
        238.16000000,    .000001395573123,        514.27710661
        238.52000000,    .000001391363604,        515.05448215
        238.88000000,    .000001387173103,        515.83185769
        239.24000000,    .000001383001505,        516.60923322
        239.60000000,    .000001378848696,        517.38660876
        239.96000000,    .000001374714564,        518.16398430
        240.32000000,    .000001370598997,        518.94135984
        240.68000000,    .000001366501883,        519.71873538
        241.04000000,    .000001362423114,        520.49611092
        241.40000000,    .000001358362578,        521.27348646
        241.76000000,    .000001354320169,        522.05086200
        242.12000000,    .000001350295778,        522.82823754
        242.48000000,    .000001346289298,        523.60561308
        242.84000000,    .000001342300623,        524.38298861
        243.20000000,    .000001338329648,        525.16036415
        243.56000000,    .000001334376268,        525.93773969
        243.92000000,    .000001330440379,        526.71511523
        244.28000000,    .000001326521879,        527.49249077
        244.64000000,    .000001322620665,        528.26986631
        245.00000000,    .000001318736636,        529.04724185
        245.36000000,    .000001314869690,        529.82461739
        245.72000000,    .000001311019728,        530.60199293
        246.08000000,    .000001307186650,        531.37936847
        246.44000000,    .000001303370358,        532.15674400
        246.80000000,    .000001299570755,        532.93411954
        247.16000000,    .000001295787741,        533.71149508
        247.52000000,    .000001292021223,        534.48887062
        247.88000000,    .000001288271103,        535.26624616
        248.24000000,    .000001284537286,        536.04362170
        248.60000000,    .000001280819679,        536.82099724
        248.96000000,    .000001277118187,        537.59837278
        249.32000000,    .000001273432718,        538.37574832
        249.68000000,    .000001269763178,        539.15312386
        250.04000000,    .000001266109477,        539.93049940
