 Hz,A
         85.60000000,           .05223056
         86.00000000,           .05198820
         86.40000000,           .05174807
         86.80000000,           .05151015
         87.20000000,           .05127441
         87.60000000,           .05104081
         88.00000000,           .05080932
         88.40000000,           .05057993
         88.80000000,           .05035259
         89.20000000,           .05012729
         89.60000000,           .04990399
         90.00000000,           .04968267
         90.40000000,           .04946330
         90.80000000,           .04924586
         91.20000000,           .04903032
         91.60000000,           .04881666
         92.00000000,           .04860485
         92.40000000,           .04839487
         92.80000000,           .04818669
         93.20000000,           .04798029
         93.60000000,           .04777566
         94.00000000,           .04757275
         94.40000000,           .04737157
         94.80000000,           .04717207
         95.20000000,           .04697425
         95.60000000,           .04677808
         96.00000000,           .04658354
         96.40000000,           .04639061
         96.80000000,           .04619927
         97.20000000,           .04600950
         97.60000000,           .04582128
         98.00000000,           .04563459
         98.40000000,           .04544942
         98.80000000,           .04526574
         99.20000000,           .04508354
         99.60000000,           .04490280
        100.00000000,           .04472350
        100.40000000,           .04454562
        100.80000000,           .04436916
        101.20000000,           .04419408
        101.60000000,           .04402038
        102.00000000,           .04384804
        102.40000000,           .04367704
        102.80000000,           .04350737
        103.20000000,           .04333902
        103.60000000,           .04317195
        104.00000000,           .04300618
        104.40000000,           .04284166
        104.80000000,           .04267840
        105.20000000,           .04251638
        105.60000000,           .04235559
        106.00000000,           .04219600
        106.40000000,           .04203761
        106.80000000,           .04188041
        107.20000000,           .04172438
        107.60000000,           .04156950
        108.00000000,           .04141577
        108.40000000,           .04126317
        108.80000000,           .04111169
        109.20000000,           .04096132
        109.60000000,           .04081204
        110.00000000,           .04066384
        110.40000000,           .04051672
        110.80000000,           .04037066
        111.20000000,           .04022564
        111.60000000,           .04008167
        112.00000000,           .03993872
        112.40000000,           .03979678
        112.80000000,           .03965585
        113.20000000,           .03951591
        113.60000000,           .03937696
        114.00000000,           .03923898
        114.40000000,           .03910196
        114.80000000,           .03896590
        115.20000000,           .03883078
        115.60000000,           .03869659
        116.00000000,           .03856333
        116.40000000,           .03843098
        116.80000000,           .03829953
        117.20000000,           .03816898
        117.60000000,           .03803932
        118.00000000,           .03791053
        118.40000000,           .03778262
        118.80000000,           .03765556
        119.20000000,           .03752935
        119.60000000,           .03740399
        120.00000000,           .03727946
        120.40000000,           .03715575
        120.80000000,           .03703287
        121.20000000,           .03691079
        121.60000000,           .03678952
        122.00000000,           .03666904
        122.40000000,           .03654934
        122.80000000,           .03643043
        123.20000000,           .03631228
        123.60000000,           .03619490
        124.00000000,           .03607827
        124.40000000,           .03596240
        124.80000000,           .03584726
        125.20000000,           .03573286
        125.60000000,           .03561919
        126.00000000,           .03550623
        126.40000000,           .03539400
        126.80000000,           .03528246
        127.20000000,           .03517163
        127.60000000,           .03506149
        128.00000000,           .03495204
        128.40000000,           .03484327
        128.80000000,           .03473518
        129.20000000,           .03462775
        129.60000000,           .03452098
        130.00000000,           .03441487
        130.40000000,           .03430942
        130.80000000,           .03420460
        131.20000000,           .03410042
        131.60000000,           .03399688
        132.00000000,           .03389396
        132.40000000,           .03379166
        132.80000000,           .03368998
        133.20000000,           .03358891
        133.60000000,           .03348844
        134.00000000,           .03338857
        134.40000000,           .03328930
        134.80000000,           .03319061
        135.20000000,           .03309251
        135.60000000,           .03299498
        136.00000000,           .03289803
        136.40000000,           .03280164
        136.80000000,           .03270582
        137.20000000,           .03261056
        137.60000000,           .03251585
        138.00000000,           .03242168
        138.40000000,           .03232806
        138.80000000,           .03223498
        139.20000000,           .03214244
        139.60000000,           .03205042
        140.00000000,           .03195893
        140.40000000,           .03186796
        140.80000000,           .03177750
        141.20000000,           .03168756
        141.60000000,           .03159813
        142.00000000,           .03150919
        142.40000000,           .03142076
        142.80000000,           .03133282
        143.20000000,           .03124537
        143.60000000,           .03115841
        144.00000000,           .03107194
        144.40000000,           .03098594
        144.80000000,           .03090041
        145.20000000,           .03081535
        145.60000000,           .03073077
        146.00000000,           .03064664
        146.40000000,           .03056298
        146.80000000,           .03047976
        147.20000000,           .03039701
        147.60000000,           .03031469
        148.00000000,           .03023283
        148.40000000,           .03015140
        148.80000000,           .03007041
        149.20000000,           .02998986
        149.60000000,           .02990973
        150.00000000,           .02983004
        150.40000000,           .02975076
        150.80000000,           .02967191
        151.20000000,           .02959347
        151.60000000,           .02951545
        152.00000000,           .02943783
        152.40000000,           .02936063
        152.80000000,           .02928382
        153.20000000,           .02920742
        153.60000000,           .02913142
        154.00000000,           .02905581
        154.40000000,           .02898059
        154.80000000,           .02890576
        155.20000000,           .02883131
        155.60000000,           .02875725
        156.00000000,           .02868356
        156.40000000,           .02861025
        156.80000000,           .02853732
        157.20000000,           .02846476
        157.60000000,           .02839256
        158.00000000,           .02832073
        158.40000000,           .02824927
        158.80000000,           .02817816
        159.20000000,           .02810741
        159.60000000,           .02803701
        160.00000000,           .02796697
        160.40000000,           .02789727
        160.80000000,           .02782792
        161.20000000,           .02775891
        161.60000000,           .02769025
        162.00000000,           .02762192
        162.40000000,           .02755393
        162.80000000,           .02748628
        163.20000000,           .02741895
        163.60000000,           .02735196
        164.00000000,           .02728529
        164.40000000,           .02721895
        164.80000000,           .02715292
        165.20000000,           .02708722
        165.60000000,           .02702183
        166.00000000,           .02695676
        166.40000000,           .02689200
        166.80000000,           .02682755
        167.20000000,           .02676341
        167.60000000,           .02669958
        168.00000000,           .02663605
        168.40000000,           .02657282
        168.80000000,           .02650988
        169.20000000,           .02644725
        169.60000000,           .02638491
        170.00000000,           .02632287
        170.40000000,           .02626112
        170.80000000,           .02619965
        171.20000000,           .02613847
        171.60000000,           .02607758
        172.00000000,           .02601697
        172.40000000,           .02595664
        172.80000000,           .02589659
        173.20000000,           .02583682
        173.60000000,           .02577732
        174.00000000,           .02571810
        174.40000000,           .02565914
        174.80000000,           .02560046
        175.20000000,           .02554205
        175.60000000,           .02548390
        176.00000000,           .02542601
        176.40000000,           .02536839
        176.80000000,           .02531102
        177.20000000,           .02525392
        177.60000000,           .02519707
        178.00000000,           .02514048
        178.40000000,           .02508414
        178.80000000,           .02502806
        179.20000000,           .02497222
        179.60000000,           .02491663
        180.00000000,           .02486129
        180.40000000,           .02480620
        180.80000000,           .02475135
        181.20000000,           .02469674
        181.60000000,           .02464237
        182.00000000,           .02458824
        182.40000000,           .02453434
        182.80000000,           .02448069
        183.20000000,           .02442726
        183.60000000,           .02437407
        184.00000000,           .02432111
        184.40000000,           .02426838
        184.80000000,           .02421588
        185.20000000,           .02416360
        185.60000000,           .02411155
        186.00000000,           .02405973
        186.40000000,           .02400812
        186.80000000,           .02395674
        187.20000000,           .02390557
        187.60000000,           .02385463
        188.00000000,           .02380390
        188.40000000,           .02375338
        188.80000000,           .02370308
        189.20000000,           .02365300
        189.60000000,           .02360312
        190.00000000,           .02355345
        190.40000000,           .02350399
        190.80000000,           .02345474
        191.20000000,           .02340570
        191.60000000,           .02335686
        192.00000000,           .02330822
        192.40000000,           .02325978
        192.80000000,           .02321155
        193.20000000,           .02316352
        193.60000000,           .02311568
        194.00000000,           .02306804
        194.40000000,           .02302060
        194.80000000,           .02297335
        195.20000000,           .02292629
        195.60000000,           .02287943
        196.00000000,           .02283276
        196.40000000,           .02278628
        196.80000000,           .02273998
        197.20000000,           .02269388
        197.60000000,           .02264796
        198.00000000,           .02260223
        198.40000000,           .02255668
        198.80000000,           .02251131
        199.20000000,           .02246613
        199.60000000,           .02242113
        200.00000000,           .02237630
        200.40000000,           .02233166
        200.80000000,           .02228719
        201.20000000,           .02224290
        201.60000000,           .02219879
        202.00000000,           .02215485
        202.40000000,           .02211109
        202.80000000,           .02206749
        203.20000000,           .02202407
        203.60000000,           .02198082
        204.00000000,           .02193774
        204.40000000,           .02189482
        204.80000000,           .02185208
        205.20000000,           .02180950
        205.60000000,           .02176709
        206.00000000,           .02172484
        206.40000000,           .02168275
        206.80000000,           .02164083
        207.20000000,           .02159907
        207.60000000,           .02155747
        208.00000000,           .02151603
        208.40000000,           .02147475
        208.80000000,           .02143363
        209.20000000,           .02139266
        209.60000000,           .02135185
        210.00000000,           .02131120
        210.40000000,           .02127070
        210.80000000,           .02123035
        211.20000000,           .02119016
        211.60000000,           .02115012
        212.00000000,           .02111022
        212.40000000,           .02107048
        212.80000000,           .02103089
        213.20000000,           .02099145
        213.60000000,           .02095216
        214.00000000,           .02091301
        214.40000000,           .02087401
        214.80000000,           .02083515
        215.20000000,           .02079644
        215.60000000,           .02075787
        216.00000000,           .02071944
        216.40000000,           .02068116
        216.80000000,           .02064301
        217.20000000,           .02060501
        217.60000000,           .02056715
        218.00000000,           .02052942
        218.40000000,           .02049184
        218.80000000,           .02045439
        219.20000000,           .02041708
        219.60000000,           .02037990
        220.00000000,           .02034286
        220.40000000,           .02030595
        220.80000000,           .02026918
        221.20000000,           .02023254
        221.60000000,           .02019603
        222.00000000,           .02015966
        222.40000000,           .02012341
        222.80000000,           .02008730
        223.20000000,           .02005131
        223.60000000,           .02001545
        224.00000000,           .01997972
        224.40000000,           .01994412
        224.80000000,           .01990864
        225.20000000,           .01987329
        225.60000000,           .01983807
        226.00000000,           .01980297
        226.40000000,           .01976800
        226.80000000,           .01973314
        227.20000000,           .01969841
        227.60000000,           .01966381
        228.00000000,           .01962932
