 Hertz,Ohm
           .00000000,          8.38000000
           .40000000,          8.41850429
           .80000000,          8.53297474
          1.20000000,          8.72042031
          1.60000000,          8.97627049
          2.00000000,          9.29487828
          2.40000000,          9.67004249
          2.80000000,         10.09545987
          3.20000000,         10.56506164
          3.60000000,         11.07322780
          4.00000000,         11.61489772
          4.40000000,         12.18560435
          4.80000000,         12.78145871
          5.20000000,         13.39910628
          5.60000000,         14.03567028
          6.00000000,         14.68869159
          6.40000000,         15.35607078
          6.80000000,         16.03601534
          7.20000000,         16.72699301
          7.60000000,         17.42769151
          8.00000000,         18.13698422
          8.40000000,         18.85390121
          8.80000000,         19.57760491
          9.20000000,         20.30736975
          9.60000000,         21.04256513
         10.00000000,         21.78264119
         10.40000000,         22.52711691
         10.80000000,         23.27557012
         11.20000000,         24.02762912
         11.60000000,         24.78296567
         12.00000000,         25.54128897
         12.40000000,         26.30234070
         12.80000000,         27.06589070
         13.20000000,         27.83173335
         13.60000000,         28.59968448
         14.00000000,         29.36957868
         14.40000000,         30.14126708
         14.80000000,         30.91461529
         15.20000000,         31.68950182
         15.60000000,         32.46581651
         16.00000000,         33.24345930
         16.40000000,         34.02233913
         16.80000000,         34.80237295
         17.20000000,         35.58348486
         17.60000000,         36.36560539
         18.00000000,         37.14867084
         18.40000000,         37.93262269
         18.80000000,         38.71740709
         19.20000000,         39.50297442
         19.60000000,         40.28927890
         20.00000000,         41.07627817
         20.40000000,         41.86393307
         20.80000000,         42.65220727
         21.20000000,         43.44106705
         21.60000000,         44.23048109
         22.00000000,         45.02042022
         22.40000000,         45.81085729
         22.80000000,         46.60176695
         23.20000000,         47.39312555
         23.60000000,         48.18491097
         24.00000000,         48.97710250
         24.40000000,         49.76968076
         24.80000000,         50.56262755
         25.20000000,         51.35592582
         25.60000000,         52.14955951
         26.00000000,         52.94351354
         26.40000000,         53.73777372
         26.80000000,         54.53232667
         27.20000000,         55.32715977
         27.60000000,         56.12226113
         28.00000000,         56.91761949
         28.40000000,         57.71322423
         28.80000000,         58.50906531
         29.20000000,         59.30513321
         29.60000000,         60.10141891
         30.00000000,         60.89791388
         30.40000000,         61.69461000
         30.80000000,         62.49149958
         31.20000000,         63.28857532
         31.60000000,         64.08583027
         32.00000000,         64.88325782
         32.40000000,         65.68085169
         32.80000000,         66.47860589
         33.20000000,         67.27651471
         33.60000000,         68.07457273
         34.00000000,         68.87277474
         34.40000000,         69.67111582
         34.80000000,         70.46959121
         35.20000000,         71.26819643
         35.60000000,         72.06692714
         36.00000000,         72.86577922
         36.40000000,         73.66474872
         36.80000000,         74.46383186
         37.20000000,         75.26302503
         37.60000000,         76.06232475
         38.00000000,         76.86172770
         38.40000000,         77.66123070
         38.80000000,         78.46083068
         39.20000000,         79.26052470
         39.60000000,         80.06030996
         40.00000000,         80.86018374
         40.40000000,         81.66014345
         40.80000000,         82.46018657
         41.20000000,         83.26031071
         41.60000000,         84.06051356
         42.00000000,         84.86079288
         42.40000000,         85.66114654
         42.80000000,         86.46157246
         43.20000000,         87.26206867
         43.60000000,         88.06263324
         44.00000000,         88.86326433
         44.40000000,         89.66396015
         44.80000000,         90.46471898
         45.20000000,         91.26553918
         45.60000000,         92.06641913
         46.00000000,         92.86735729
         46.40000000,         93.66835216
         46.80000000,         94.46940232
         47.20000000,         95.27050635
         47.60000000,         96.07166291
         48.00000000,         96.87287070
         48.40000000,         97.67412846
         48.80000000,         98.47543496
         49.20000000,         99.27678904
         49.60000000,        100.07818954
         50.00000000,        100.87963535
         50.40000000,        101.68112542
         50.80000000,        102.48265869
         51.20000000,        103.28423417
         51.60000000,        104.08585088
         52.00000000,        104.88750786
         52.40000000,        105.68920422
         52.80000000,        106.49093905
         53.20000000,        107.29271149
         53.60000000,        108.09452072
         54.00000000,        108.89636590
         54.40000000,        109.69824627
         54.80000000,        110.50016104
         55.20000000,        111.30210948
         55.60000000,        112.10409087
         56.00000000,        112.90610450
         56.40000000,        113.70814969
         56.80000000,        114.51022577
         57.20000000,        115.31233211
         57.60000000,        116.11446807
         58.00000000,        116.91663305
         58.40000000,        117.71882645
         58.80000000,        118.52104769
         59.20000000,        119.32329622
         59.60000000,        120.12557149
         60.00000000,        120.92787296
         60.40000000,        121.73020012
         60.80000000,        122.53255245
         61.20000000,        123.33492948
         61.60000000,        124.13733073
         62.00000000,        124.93975571
         62.40000000,        125.74220399
         62.80000000,        126.54467512
         63.20000000,        127.34716866
         63.60000000,        128.14968419
         64.00000000,        128.95222131
         64.40000000,        129.75477962
         64.80000000,        130.55735871
         65.20000000,        131.35995822
         65.60000000,        132.16257777
         66.00000000,        132.96521699
         66.40000000,        133.76787554
         66.80000000,        134.57055307
         67.20000000,        135.37324923
         67.60000000,        136.17596370
         68.00000000,        136.97869617
         68.40000000,        137.78144630
         68.80000000,        138.58421380
         69.20000000,        139.38699837
         69.60000000,        140.18979971
         70.00000000,        140.99261754
         70.40000000,        141.79545158
         70.80000000,        142.59830154
         71.20000000,        143.40116718
         71.60000000,        144.20404821
         72.00000000,        145.00694440
         72.40000000,        145.80985548
         72.80000000,        146.61278121
         73.20000000,        147.41572136
         73.60000000,        148.21867569
         74.00000000,        149.02164397
         74.40000000,        149.82462597
         74.80000000,        150.62762148
         75.20000000,        151.43063028
         75.60000000,        152.23365216
         76.00000000,        153.03668692
         76.40000000,        153.83973435
         76.80000000,        154.64279425
         77.20000000,        155.44586644
         77.60000000,        156.24895072
         78.00000000,        157.05204691
         78.40000000,        157.85515482
         78.80000000,        158.65827429
         79.20000000,        159.46140512
         79.60000000,        160.26454716
         80.00000000,        161.06770023
         80.40000000,        161.87086418
         80.80000000,        162.67403883
         81.20000000,        163.47722404
         81.60000000,        164.28041964
         82.00000000,        165.08362549
         82.40000000,        165.88684143
         82.80000000,        166.69006733
         83.20000000,        167.49330303
         83.60000000,        168.29654840
         84.00000000,        169.09980329
         84.40000000,        169.90306759
         84.80000000,        170.70634114
         85.20000000,        171.50962382
         85.60000000,        172.31291551
         86.00000000,        173.11621608
         86.40000000,        173.91952540
         86.80000000,        174.72284335
         87.20000000,        175.52616982
         87.60000000,        176.32950469
         88.00000000,        177.13284785
         88.40000000,        177.93619918
         88.80000000,        178.73955857
         89.20000000,        179.54292592
         89.60000000,        180.34630111
         90.00000000,        181.14968405
         90.40000000,        181.95307463
         90.80000000,        182.75647275
         91.20000000,        183.55987831
         91.60000000,        184.36329121
         92.00000000,        185.16671137
         92.40000000,        185.97013868
         92.80000000,        186.77357305
         93.20000000,        187.57701439
         93.60000000,        188.38046262
         94.00000000,        189.18391763
         94.40000000,        189.98737936
         94.80000000,        190.79084771
         95.20000000,        191.59432261
         95.60000000,        192.39780396
         96.00000000,        193.20129169
         96.40000000,        194.00478571
         96.80000000,        194.80828596
         97.20000000,        195.61179235
         97.60000000,        196.41530481
         98.00000000,        197.21882327
         98.40000000,        198.02234764
         98.80000000,        198.82587787
         99.20000000,        199.62941387
         99.60000000,        200.43295559
        100.00000000,        201.23650294
        100.40000000,        202.04005587
        100.80000000,        202.84361431
        101.20000000,        203.64717819
        101.60000000,        204.45074745
        102.00000000,        205.25432202
        102.40000000,        206.05790185
        102.80000000,        206.86148686
        103.20000000,        207.66507701
        103.60000000,        208.46867223
        104.00000000,        209.27227247
        104.40000000,        210.07587766
        104.80000000,        210.87948775
        105.20000000,        211.68310268
        105.60000000,        212.48672240
        106.00000000,        213.29034686
        106.40000000,        214.09397600
        106.80000000,        214.89760976
        107.20000000,        215.70124811
        107.60000000,        216.50489098
        108.00000000,        217.30853832
        108.40000000,        218.11219010
        108.80000000,        218.91584624
        109.20000000,        219.71950672
        109.60000000,        220.52317148
        110.00000000,        221.32684048
        110.40000000,        222.13051367
        110.80000000,        222.93419100
        111.20000000,        223.73787243
        111.60000000,        224.54155791
        112.00000000,        225.34524741
        112.40000000,        226.14894088
        112.80000000,        226.95263827
        113.20000000,        227.75633956
        113.60000000,        228.56004468
        114.00000000,        229.36375361
        114.40000000,        230.16746630
        114.80000000,        230.97118272
        115.20000000,        231.77490283
        115.60000000,        232.57862658
        116.00000000,        233.38235394
        116.40000000,        234.18608488
