 Hz,A/m,Oe
         61.60000000,        207.40972962,          2.60638760
         62.00000000,        206.07764162,          2.58964809
         62.40000000,        204.76251716,          2.57312175
         62.80000000,        203.46403496,          2.55680454
         63.20000000,        202.18188181,          2.54069253
         63.60000000,        200.91575226,          2.52478188
         64.00000000,        199.66534845,          2.50906884
         64.40000000,        198.43037981,          2.49354976
         64.80000000,        197.21056290,          2.47822109
         65.20000000,        196.00562113,          2.46307935
         65.60000000,        194.81528460,          2.44812114
         66.00000000,        193.63928992,          2.43334315
         66.40000000,        192.47737992,          2.41874216
         66.80000000,        191.32930359,          2.40431501
         67.20000000,        190.19481580,          2.39005861
         67.60000000,        189.07367719,          2.37596997
         68.00000000,        187.96565395,          2.36204614
         68.40000000,        186.87051772,          2.34828425
         68.80000000,        185.78804537,          2.33468150
         69.20000000,        184.71801892,          2.32123515
         69.60000000,        183.66022531,          2.30794252
         70.00000000,        182.61445635,          2.29480100
         70.40000000,        181.58050851,          2.28180803
         70.80000000,        180.55818283,          2.26896111
         71.20000000,        179.54728479,          2.25625779
         71.60000000,        178.54762416,          2.24369568
         72.00000000,        177.55901491,          2.23127245
         72.40000000,        176.58127510,          2.21898581
         72.80000000,        175.61422673,          2.20683352
         73.20000000,        174.65769569,          2.19481340
         73.60000000,        173.71151161,          2.18292330
         74.00000000,        172.77550775,          2.17116112
         74.40000000,        171.84952097,          2.15952483
         74.80000000,        170.93339156,          2.14801241
         75.20000000,        170.02696320,          2.13662189
         75.60000000,        169.13008285,          2.12535136
         76.00000000,        168.24260065,          2.11419893
         76.40000000,        167.36436989,          2.10316276
         76.80000000,        166.49524685,          2.09224104
         77.20000000,        165.63509080,          2.08143200
         77.60000000,        164.78376388,          2.07073391
         78.00000000,        163.94113104,          2.06014507
         78.40000000,        163.10705996,          2.04966382
         78.80000000,        162.28142098,          2.03928854
         79.20000000,        161.46408708,          2.02901762
         79.60000000,        160.65493372,          2.01884949
         80.00000000,        159.85383888,          2.00878264
         80.40000000,        159.06068293,          1.99881555
         80.80000000,        158.27534859,          1.98894674
         81.20000000,        157.49772088,          1.97917479
         81.60000000,        156.72768708,          1.96949826
         82.00000000,        155.96513662,          1.95991576
         82.40000000,        155.20996108,          1.95042595
         82.80000000,        154.46205413,          1.94102747
         83.20000000,        153.72131146,          1.93171902
         83.60000000,        152.98763075,          1.92249932
         84.00000000,        152.26091161,          1.91336710
         84.40000000,        151.54105555,          1.90432112
         84.80000000,        150.82796591,          1.89536017
         85.20000000,        150.12154787,          1.88648306
         85.60000000,        149.42170833,          1.87768862
         86.00000000,        148.72835593,          1.86897569
         86.40000000,        148.04140101,          1.86034316
         86.80000000,        147.36075552,          1.85178992
         87.20000000,        146.68633303,          1.84331488
         87.60000000,        146.01804869,          1.83491697
         88.00000000,        145.35581918,          1.82659515
         88.40000000,        144.69956266,          1.81834838
         88.80000000,        144.04919878,          1.81017567
         89.20000000,        143.40464861,          1.80207601
         89.60000000,        142.76583464,          1.79404844
         90.00000000,        142.13268070,          1.78609199
         90.40000000,        141.50511199,          1.77820573
         90.80000000,        140.88305500,          1.77038873
         91.20000000,        140.26643752,          1.76264009
         91.60000000,        139.65518858,          1.75495891
         92.00000000,        139.04923845,          1.74734431
         92.40000000,        138.44851859,          1.73979544
         92.80000000,        137.85296165,          1.73231145
         93.20000000,        137.26250141,          1.72489151
         93.60000000,        136.67707280,          1.71753480
         94.00000000,        136.09661183,          1.71024051
         94.40000000,        135.52105560,          1.70300786
         94.80000000,        134.95034228,          1.69583606
         95.20000000,        134.38441104,          1.68872436
         95.60000000,        133.82320210,          1.68167200
         96.00000000,        133.26665664,          1.67467824
         96.40000000,        132.71471684,          1.66774236
         96.80000000,        132.16732582,          1.66086365
         97.20000000,        131.62442761,          1.65404139
         97.60000000,        131.08596719,          1.64727489
         98.00000000,        130.55189041,          1.64056348
         98.40000000,        130.02214401,          1.63390650
         98.80000000,        129.49667557,          1.62730326
         99.20000000,        128.97543354,          1.62075314
         99.60000000,        128.45836717,          1.61425550
        100.00000000,        127.94542653,          1.60780969
        100.40000000,        127.43656247,          1.60141512
        100.80000000,        126.93172664,          1.59507116
        101.20000000,        126.43087143,          1.58877723
