 Hz,vind,vres
         27.20000000,          2.33211872,          3.74751258
         27.40000000,          2.33871496,          3.77506782
         27.60000000,          2.34522280,          3.80262306
         27.80000000,          2.35164356,          3.83017829
         28.00000000,          2.35797857,          3.85773353
         28.20000000,          2.36422910,          3.88528877
         28.40000000,          2.37039645,          3.91284401
         28.60000000,          2.37648188,          3.94039925
         28.80000000,          2.38248661,          3.96795449
         29.00000000,          2.38841187,          3.99550973
         29.20000000,          2.39425887,          4.02306497
         29.40000000,          2.40002879,          4.05062021
         29.60000000,          2.40572280,          4.07817545
         29.80000000,          2.41134205,          4.10573069
         30.00000000,          2.41688768,          4.13328593
         30.20000000,          2.42236079,          4.16084117
         30.40000000,          2.42776249,          4.18839641
         30.60000000,          2.43309386,          4.21595165
         30.80000000,          2.43835596,          4.24350689
         31.00000000,          2.44354985,          4.27106213
         31.20000000,          2.44867655,          4.29861737
         31.40000000,          2.45373709,          4.32617261
         31.60000000,          2.45873245,          4.35372785
         31.80000000,          2.46366364,          4.38128309
         32.00000000,          2.46853161,          4.40883833
         32.20000000,          2.47333732,          4.43639356
         32.40000000,          2.47808171,          4.46394880
         32.60000000,          2.48276571,          4.49150404
         32.80000000,          2.48739022,          4.51905928
         33.00000000,          2.49195614,          4.54661452
         33.20000000,          2.49646435,          4.57416976
         33.40000000,          2.50091571,          4.60172500
         33.60000000,          2.50531109,          4.62928024
         33.80000000,          2.50965131,          4.65683548
         34.00000000,          2.51393721,          4.68439072
         34.20000000,          2.51816959,          4.71194596
         34.40000000,          2.52234926,          4.73950120
         34.60000000,          2.52647700,          4.76705644
         34.80000000,          2.53055358,          4.79461168
         35.00000000,          2.53457978,          4.82216692
         35.20000000,          2.53855632,          4.84972216
         35.40000000,          2.54248397,          4.87727740
         35.60000000,          2.54636343,          4.90483264
         35.80000000,          2.55019542,          4.93238788
         36.00000000,          2.55398064,          4.95994312
         36.20000000,          2.55771978,          4.98749836
         36.40000000,          2.56141353,          5.01505359
         36.60000000,          2.56506255,          5.04260883
         36.80000000,          2.56866749,          5.07016407
         37.00000000,          2.57222901,          5.09771931
         37.20000000,          2.57574774,          5.12527455
         37.40000000,          2.57922430,          5.15282979
         37.60000000,          2.58265931,          5.18038503
         37.80000000,          2.58605338,          5.20794027
         38.00000000,          2.58940710,          5.23549551
         38.20000000,          2.59272105,          5.26305075
         38.40000000,          2.59599582,          5.29060599
         38.60000000,          2.59923197,          5.31816123
         38.80000000,          2.60243006,          5.34571647
         39.00000000,          2.60559064,          5.37327171
         39.20000000,          2.60871424,          5.40082695
         39.40000000,          2.61180141,          5.42838219
         39.60000000,          2.61485265,          5.45593743
         39.80000000,          2.61786849,          5.48349267
         40.00000000,          2.62084943,          5.51104791
         40.20000000,          2.62379597,          5.53860315
         40.40000000,          2.62670859,          5.56615839
         40.60000000,          2.62958779,          5.59371362
         40.80000000,          2.63243403,          5.62126886
         41.00000000,          2.63524777,          5.64882410
         41.20000000,          2.63802949,          5.67637934
         41.40000000,          2.64077963,          5.70393458
         41.60000000,          2.64349863,          5.73148982
         41.80000000,          2.64618693,          5.75904506
         42.00000000,          2.64884496,          5.78660030
         42.20000000,          2.65147314,          5.81415554
         42.40000000,          2.65407190,          5.84171078
         42.60000000,          2.65664163,          5.86926602
         42.80000000,          2.65918275,          5.89682126
         43.00000000,          2.66169564,          5.92437650
         43.20000000,          2.66418070,          5.95193174
         43.40000000,          2.66663832,          5.97948698
         43.60000000,          2.66906887,          6.00704222
         43.80000000,          2.67147272,          6.03459746
         44.00000000,          2.67385024,          6.06215270
         44.20000000,          2.67620179,          6.08970794
         44.40000000,          2.67852772,          6.11726318
         44.60000000,          2.68082839,          6.14481842
         44.80000000,          2.68310413,          6.17237366
         45.00000000,          2.68535529,          6.19992889
         45.20000000,          2.68758219,          6.22748413
         45.40000000,          2.68978517,          6.25503937
         45.60000000,          2.69196455,          6.28259461
         45.80000000,          2.69412064,          6.31014985
         46.00000000,          2.69625375,          6.33770509
         46.20000000,          2.69836420,          6.36526033
         46.40000000,          2.70045229,          6.39281557
         46.60000000,          2.70251831,          6.42037081
         46.80000000,          2.70456255,          6.44792605
         47.00000000,          2.70658532,          6.47548129
         47.20000000,          2.70858688,          6.50303653
         47.40000000,          2.71056752,          6.53059177
         47.60000000,          2.71252753,          6.55814701
         47.80000000,          2.71446715,          6.58570225
         48.00000000,          2.71638667,          6.61325749
         48.20000000,          2.71828635,          6.64081273
         48.40000000,          2.72016645,          6.66836797
         48.60000000,          2.72202722,          6.69592321
         48.80000000,          2.72386891,          6.72347845
         49.00000000,          2.72569176,          6.75103369
         49.20000000,          2.72749604,          6.77858892
         49.40000000,          2.72928196,          6.80614416
         49.60000000,          2.73104978,          6.83369940
         49.80000000,          2.73279971,          6.86125464
         50.00000000,          2.73453200,          6.88880988
         50.20000000,          2.73624686,          6.91636512
         50.40000000,          2.73794452,          6.94392036
         50.60000000,          2.73962520,          6.97147560
         50.80000000,          2.74128911,          6.99903084
         51.00000000,          2.74293647,          7.02658608
         51.20000000,          2.74456748,          7.05414132
         51.40000000,          2.74618235,          7.08169656
         51.60000000,          2.74778128,          7.10925180
         51.80000000,          2.74936448,          7.13680704
         52.00000000,          2.75093213,          7.16436228
         52.20000000,          2.75248445,          7.19191752
         52.40000000,          2.75402160,          7.21947276
         52.60000000,          2.75554379,          7.24702800
         52.80000000,          2.75705120,          7.27458324
         53.00000000,          2.75854401,          7.30213848
         53.20000000,          2.76002240,          7.32969372
         53.40000000,          2.76148656,          7.35724896
         53.60000000,          2.76293664,          7.38480419
         53.80000000,          2.76437284,          7.41235943
         54.00000000,          2.76579531,          7.43991467
         54.20000000,          2.76720422,          7.46746991
         54.40000000,          2.76859975,          7.49502515
         54.60000000,          2.76998204,          7.52258039
         54.80000000,          2.77135127,          7.55013563
         55.00000000,          2.77270758,          7.57769087
         55.20000000,          2.77405115,          7.60524611
         55.40000000,          2.77538210,          7.63280135
         55.60000000,          2.77670061,          7.66035659
