 Hz,vind,vres
           .00000000,           .00000000,           .00000000
           .20000000,           .04717274,           .04717476
           .40000000,           .09433338,           .09434952
           .60000000,           .14146983,           .14152427
           .80000000,           .18857003,           .18869903
          1.00000000,           .23562198,           .23587379
          1.20000000,           .28261373,           .28304855
          1.40000000,           .32953341,           .33022331
          1.60000000,           .37636923,           .37739806
          1.80000000,           .42310952,           .42457282
          2.00000000,           .46974274,           .47174758
          2.20000000,           .51625746,           .51892234
          2.40000000,           .56264241,           .56609710
          2.60000000,           .60888647,           .61327185
          2.80000000,           .65497872,           .66044661
          3.00000000,           .70090841,           .70762137
          3.20000000,           .74666496,           .75479613
          3.40000000,           .79223805,           .80197089
          3.60000000,           .83761754,           .84914565
          3.80000000,           .88279354,           .89632040
          4.00000000,           .92775638,           .94349516
          4.20000000,           .97249665,           .99066992
          4.40000000,          1.01700519,          1.03784468
          4.60000000,          1.06127311,          1.08501944
          4.80000000,          1.10529177,          1.13219419
          5.00000000,          1.14905282,          1.17936895
          5.20000000,          1.19254819,          1.22654371
          5.40000000,          1.23577010,          1.27371847
          5.60000000,          1.27871104,          1.32089323
          5.80000000,          1.32136381,          1.36806798
          6.00000000,          1.36372150,          1.41524274
          6.20000000,          1.40577749,          1.46241750
          6.40000000,          1.44752548,          1.50959226
          6.60000000,          1.48895945,          1.55676702
          6.80000000,          1.53007369,          1.60394177
          7.00000000,          1.57086279,          1.65111653
          7.20000000,          1.61132164,          1.69829129
          7.40000000,          1.65144543,          1.74546605
          7.60000000,          1.69122964,          1.79264081
          7.80000000,          1.73067005,          1.83981556
          8.00000000,          1.76976273,          1.88699032
          8.20000000,          1.80850404,          1.93416508
          8.40000000,          1.84689062,          1.98133984
          8.60000000,          1.88491941,          2.02851460
          8.80000000,          1.92258760,          2.07568935
          9.00000000,          1.95989267,          2.12286411
          9.20000000,          1.99683236,          2.17003887
          9.40000000,          2.03340467,          2.21721363
          9.60000000,          2.06960788,          2.26438839
          9.80000000,          2.10544047,          2.31156315
         10.00000000,          2.14090122,          2.35873790
         10.20000000,          2.17598912,          2.40591266
         10.40000000,          2.21070339,          2.45308742
         10.60000000,          2.24504348,          2.50026218
         10.80000000,          2.27900907,          2.54743694
         11.00000000,          2.31260004,          2.59461169
         11.20000000,          2.34581647,          2.64178645
         11.40000000,          2.37865865,          2.68896121
         11.60000000,          2.41112707,          2.73613597
         11.80000000,          2.44322239,          2.78331073
         12.00000000,          2.47494544,          2.83048548
         12.20000000,          2.50629725,          2.87766024
         12.40000000,          2.53727898,          2.92483500
         12.60000000,          2.56789198,          2.97200976
         12.80000000,          2.59813772,          3.01918452
         13.00000000,          2.62801784,          3.06635927
         13.20000000,          2.65753410,          3.11353403
         13.40000000,          2.68668839,          3.16070879
         13.60000000,          2.71548275,          3.20788355
         13.80000000,          2.74391929,          3.25505831
         14.00000000,          2.77200029,          3.30223306
         14.20000000,          2.79972808,          3.34940782
         14.40000000,          2.82710512,          3.39658258
         14.60000000,          2.85413397,          3.44375734
         14.80000000,          2.88081725,          3.49093210
         15.00000000,          2.90715768,          3.53810686
         15.20000000,          2.93315806,          3.58528161
         15.40000000,          2.95882124,          3.63245637
         15.60000000,          2.98415017,          3.67963113
         15.80000000,          3.00914784,          3.72680589
         16.00000000,          3.03381729,          3.77398065
         16.20000000,          3.05816162,          3.82115540
         16.40000000,          3.08218397,          3.86833016
         16.60000000,          3.10588755,          3.91550492
         16.80000000,          3.12927558,          3.96267968
         17.00000000,          3.15235132,          4.00985444
         17.20000000,          3.17511807,          4.05702919
         17.40000000,          3.19757913,          4.10420395
         17.60000000,          3.21973787,          4.15137871
         17.80000000,          3.24159764,          4.19855347
         18.00000000,          3.26316181,          4.24572823
         18.20000000,          3.28443378,          4.29290298
         18.40000000,          3.30541696,          4.34007774
         18.60000000,          3.32611475,          4.38725250
         18.80000000,          3.34653056,          4.43442726
         19.00000000,          3.36666781,          4.48160202
         19.20000000,          3.38652991,          4.52877677
         19.40000000,          3.40612028,          4.57595153
         19.60000000,          3.42544231,          4.62312629
         19.80000000,          3.44449941,          4.67030105
         20.00000000,          3.46329497,          4.71747581
         20.20000000,          3.48183235,          4.76465056
         20.40000000,          3.50011492,          4.81182532
         20.60000000,          3.51814604,          4.85900008
         20.80000000,          3.53592902,          4.90617484
         21.00000000,          3.55346718,          4.95334960
         21.20000000,          3.57076382,          5.00052436
         21.40000000,          3.58782220,          5.04769911
         21.60000000,          3.60464557,          5.09487387
         21.80000000,          3.62123716,          5.14204863
         22.00000000,          3.63760017,          5.18922339
         22.20000000,          3.65373777,          5.23639815
         22.40000000,          3.66965312,          5.28357290
         22.60000000,          3.68534932,          5.33074766
         22.80000000,          3.70082949,          5.37792242
         23.00000000,          3.71609667,          5.42509718
         23.20000000,          3.73115391,          5.47227194
         23.40000000,          3.74600421,          5.51944669
         23.60000000,          3.76065054,          5.56662145
         23.80000000,          3.77509584,          5.61379621
         24.00000000,          3.78934303,          5.66097097
         24.20000000,          3.80339499,          5.70814573
         24.40000000,          3.81725455,          5.75532048
         24.60000000,          3.83092454,          5.80249524
         24.80000000,          3.84440774,          5.84967000
         25.00000000,          3.85770689,          5.89684476
         25.20000000,          3.87082471,          5.94401952
         25.40000000,          3.88376389,          5.99119427
         25.60000000,          3.89652706,          6.03836903
         25.80000000,          3.90911685,          6.08554379
         26.00000000,          3.92153583,          6.13271855
         26.20000000,          3.93378655,          6.17989331
         26.40000000,          3.94587153,          6.22706806
         26.60000000,          3.95779326,          6.27424282
         26.80000000,          3.96955416,          6.32141758
         27.00000000,          3.98115667,          6.36859234
         27.20000000,          3.99260316,          6.41576710
         27.40000000,          4.00389597,          6.46294186
         27.60000000,          4.01503744,          6.51011661
         27.80000000,          4.02602983,          6.55729137
         28.00000000,          4.03687539,          6.60446613
         28.20000000,          4.04757636,          6.65164089
         28.40000000,          4.05813490,          6.69881565
         28.60000000,          4.06855318,          6.74599040
         28.80000000,          4.07883332,          6.79316516
         29.00000000,          4.08897742,          6.84033992
         29.20000000,          4.09898752,          6.88751468
         29.40000000,          4.10886566,          6.93468944
         29.60000000,          4.11861385,          6.98186419
         29.80000000,          4.12823404,          7.02903895
         30.00000000,          4.13772819,          7.07621371
         30.20000000,          4.14709820,          7.12338847
         30.40000000,          4.15634594,          7.17056323
         30.60000000,          4.16547328,          7.21773798
         30.80000000,          4.17448204,          7.26491274
         31.00000000,          4.18337401,          7.31208750
         31.20000000,          4.19215096,          7.35926226
         31.40000000,          4.20081463,          7.40643702
         31.60000000,          4.20936673,          7.45361177
         31.80000000,          4.21780895,          7.50078653
         32.00000000,          4.22614296,          7.54796129
         32.20000000,          4.23437037,          7.59513605
         32.40000000,          4.24249280,          7.64231081
         32.60000000,          4.25051184,          7.68948557
         32.80000000,          4.25842903,          7.73666032
         33.00000000,          4.26624591,          7.78383508
         33.20000000,          4.27396400,          7.83100984
         33.40000000,          4.28158477,          7.87818460
         33.60000000,          4.28910968,          7.92535936
         33.80000000,          4.29654017,          7.97253411
         34.00000000,          4.30387765,          8.01970887
         34.20000000,          4.31112352,          8.06688363
         34.40000000,          4.31827914,          8.11405839
         34.60000000,          4.32534585,          8.16123315
         34.80000000,          4.33232500,          8.20840790
         35.00000000,          4.33921787,          8.25558266
         35.20000000,          4.34602575,          8.30275742
         35.40000000,          4.35274990,          8.34993218
         35.60000000,          4.35939156,          8.39710694
         35.80000000,          4.36595195,          8.44428169
         36.00000000,          4.37243228,          8.49145645
         36.20000000,          4.37883372,          8.53863121
         36.40000000,          4.38515744,          8.58580597
         36.60000000,          4.39140458,          8.63298073
         36.80000000,          4.39757627,          8.68015548
         37.00000000,          4.40367362,          8.72733024
         37.20000000,          4.40969770,          8.77450500
         37.40000000,          4.41564960,          8.82167976
         37.60000000,          4.42153036,          8.86885452
         37.80000000,          4.42734103,          8.91602927
         38.00000000,          4.43308262,          8.96320403
         38.20000000,          4.43875613,          9.01037879
         38.40000000,          4.44436256,          9.05755355
         38.60000000,          4.44990287,          9.10472831
         38.80000000,          4.45537802,          9.15190307
         39.00000000,          4.46078895,          9.19907782
         39.20000000,          4.46613658,          9.24625258
         39.40000000,          4.47142183,          9.29342734
         39.60000000,          4.47664558,          9.34060210
         39.80000000,          4.48180871,          9.38777686
         40.00000000,          4.48691210,          9.43495161
         40.20000000,          4.49195659,          9.48212637
         40.40000000,          4.49694303,          9.52930113
         40.60000000,          4.50187223,          9.57647589
         40.80000000,          4.50674501,          9.62365065
         41.00000000,          4.51156217,          9.67082540
         41.20000000,          4.51632449,          9.71800016
         41.40000000,          4.52103274,          9.76517492
         41.60000000,          4.52568768,          9.81234968
         41.80000000,          4.53029007,          9.85952444
         42.00000000,          4.53484064,          9.90669919
         42.20000000,          4.53934011,          9.95387395
         42.40000000,          4.54378919,         10.00104871
         42.60000000,          4.54818859,         10.04822347
         42.80000000,          4.55253900,         10.09539823
         43.00000000,          4.55684109,         10.14257298
         43.20000000,          4.56109554,         10.18974774
         43.40000000,          4.56530300,         10.23692250
         43.60000000,          4.56946411,         10.28409726
         43.80000000,          4.57357952,         10.33127202
         44.00000000,          4.57764985,         10.37844677
         44.20000000,          4.58167572,         10.42562153
         44.40000000,          4.58565774,         10.47279629
         44.60000000,          4.58959649,         10.51997105
         44.80000000,          4.59349258,         10.56714581
         45.00000000,          4.59734658,         10.61432057
         45.20000000,          4.60115905,         10.66149532
         45.40000000,          4.60493056,         10.70867008
         45.60000000,          4.60866167,         10.75584484
         45.80000000,          4.61235291,         10.80301960
         46.00000000,          4.61600482,         10.85019436
         46.20000000,          4.61961792,         10.89736911
         46.40000000,          4.62319274,         10.94454387
         46.60000000,          4.62672978,         10.99171863
         46.80000000,          4.63022954,         11.03889339
         47.00000000,          4.63369253,         11.08606815
         47.20000000,          4.63711922,         11.13324290
         47.40000000,          4.64051009,         11.18041766
         47.60000000,          4.64386563,         11.22759242
         47.80000000,          4.64718628,         11.27476718
         48.00000000,          4.65047252,         11.32194194
         48.20000000,          4.65372478,         11.36911669
         48.40000000,          4.65694352,         11.41629145
         48.60000000,          4.66012917,         11.46346621
         48.80000000,          4.66328215,         11.51064097
         49.00000000,          4.66640290,         11.55781573
         49.20000000,          4.66949182,         11.60499048
         49.40000000,          4.67254934,         11.65216524
         49.60000000,          4.67557585,         11.69934000
         49.80000000,          4.67857175,         11.74651476
         50.00000000,          4.68153744,         11.79368952
         50.20000000,          4.68447329,         11.84086428
         50.40000000,          4.68737970,         11.88803903
         50.60000000,          4.69025703,         11.93521379
         50.80000000,          4.69310566,         11.98238855
         51.00000000,          4.69592594,         12.02956331
         51.20000000,          4.69871824,         12.07673807
         51.40000000,          4.70148291,         12.12391282
         51.60000000,          4.70422030,         12.17108758
         51.80000000,          4.70693074,         12.21826234
         52.00000000,          4.70961458,         12.26543710
         52.20000000,          4.71227215,         12.31261186
         52.40000000,          4.71490377,         12.35978661
         52.60000000,          4.71750977,         12.40696137
         52.80000000,          4.72009046,         12.45413613
         53.00000000,          4.72264617,         12.50131089
         53.20000000,          4.72517719,         12.54848565
         53.40000000,          4.72768383,         12.59566040
         53.60000000,          4.73016638,         12.64283516
         53.80000000,          4.73262516,         12.69000992
         54.00000000,          4.73506044,         12.73718468
         54.20000000,          4.73747251,         12.78435944
         54.40000000,          4.73986165,         12.83153419
         54.60000000,          4.74222815,         12.87870895
         54.80000000,          4.74457228,         12.92588371
