 Hz,A
        199.00000000,          1.29634736
        200.00000000,          1.28994071
        201.00000000,          1.28359670
        202.00000000,          1.27731444
        203.00000000,          1.27109302
        204.00000000,          1.26493157
        205.00000000,          1.25882924
        206.00000000,          1.25278518
        207.00000000,          1.24679857
        208.00000000,          1.24086860
        209.00000000,          1.23499446
        210.00000000,          1.22917538
        211.00000000,          1.22341060
        212.00000000,          1.21769936
        213.00000000,          1.21204092
        214.00000000,          1.20643455
        215.00000000,          1.20087956
        216.00000000,          1.19537522
        217.00000000,          1.18992087
        218.00000000,          1.18451582
        219.00000000,          1.17915942
        220.00000000,          1.17385101
        221.00000000,          1.16858995
        222.00000000,          1.16337562
        223.00000000,          1.15820739
        224.00000000,          1.15308467
        225.00000000,          1.14800686
        226.00000000,          1.14297337
        227.00000000,          1.13798362
        228.00000000,          1.13303706
        229.00000000,          1.12813312
        230.00000000,          1.12327127
        231.00000000,          1.11845095
        232.00000000,          1.11367166
        233.00000000,          1.10893286
        234.00000000,          1.10423404
        235.00000000,          1.09957471
        236.00000000,          1.09495437
        237.00000000,          1.09037253
        238.00000000,          1.08582872
        239.00000000,          1.08132247
        240.00000000,          1.07685332
        241.00000000,          1.07242081
        242.00000000,          1.06802450
        243.00000000,          1.06366394
        244.00000000,          1.05933870
        245.00000000,          1.05504836
        246.00000000,          1.05079250
        247.00000000,          1.04657070
        248.00000000,          1.04238256
        249.00000000,          1.03822769
        250.00000000,          1.03410568
        251.00000000,          1.03001615
        252.00000000,          1.02595872
        253.00000000,          1.02193302
        254.00000000,          1.01793867
        255.00000000,          1.01397531
        256.00000000,          1.01004258
        257.00000000,          1.00614014
        258.00000000,          1.00226763
        259.00000000,           .99842471
        260.00000000,           .99461104
        261.00000000,           .99082630
        262.00000000,           .98707016
        263.00000000,           .98334229
        264.00000000,           .97964238
        265.00000000,           .97597012
        266.00000000,           .97232519
        267.00000000,           .96870730
        268.00000000,           .96511614
        269.00000000,           .96155143
        270.00000000,           .95801287
        271.00000000,           .95450017
        272.00000000,           .95101306
        273.00000000,           .94755126
        274.00000000,           .94411449
        275.00000000,           .94070248
        276.00000000,           .93731497
        277.00000000,           .93395169
        278.00000000,           .93061240
        279.00000000,           .92729682
        280.00000000,           .92400472
        281.00000000,           .92073584
        282.00000000,           .91748994
        283.00000000,           .91426677
        284.00000000,           .91106611
        285.00000000,           .90788772
        286.00000000,           .90473136
        287.00000000,           .90159682
        288.00000000,           .89848385
        289.00000000,           .89539225
        290.00000000,           .89232179
        291.00000000,           .88927226
        292.00000000,           .88624345
        293.00000000,           .88323514
        294.00000000,           .88024713
        295.00000000,           .87727922
        296.00000000,           .87433120
        297.00000000,           .87140287
        298.00000000,           .86849404
        299.00000000,           .86560452
        300.00000000,           .86273411
        301.00000000,           .85988263
        302.00000000,           .85704988
        303.00000000,           .85423569
        304.00000000,           .85143988
        305.00000000,           .84866225
        306.00000000,           .84590265
        307.00000000,           .84316089
        308.00000000,           .84043681
        309.00000000,           .83773023
        310.00000000,           .83504098
        311.00000000,           .83236890
        312.00000000,           .82971382
        313.00000000,           .82707559
        314.00000000,           .82445405
        315.00000000,           .82184903
        316.00000000,           .81926038
        317.00000000,           .81668795
        318.00000000,           .81413159
        319.00000000,           .81159115
        320.00000000,           .80906647
        321.00000000,           .80655742
        322.00000000,           .80406385
        323.00000000,           .80158561
        324.00000000,           .79912257
        325.00000000,           .79667458
        326.00000000,           .79424152
        327.00000000,           .79182324
        328.00000000,           .78941960
        329.00000000,           .78703049
        330.00000000,           .78465576
        331.00000000,           .78229529
        332.00000000,           .77994895
        333.00000000,           .77761661
        334.00000000,           .77529815
        335.00000000,           .77299344
        336.00000000,           .77070237
        337.00000000,           .76842481
        338.00000000,           .76616065
        339.00000000,           .76390976
        340.00000000,           .76167203
        341.00000000,           .75944735
        342.00000000,           .75723560
        343.00000000,           .75503667
        344.00000000,           .75285044
        345.00000000,           .75067682
