 Hertz,Ohm
           .00000000,          2.50000000
          1.00000000,          2.50267174
          2.00000000,          2.51066988
          3.00000000,          2.52394381
          4.00000000,          2.54241087
          5.00000000,          2.56595896
          6.00000000,          2.59444972
          7.00000000,          2.62772239
          8.00000000,          2.66559790
          9.00000000,          2.70788313
         10.00000000,          2.75437498
         11.00000000,          2.80486428
         12.00000000,          2.85913927
         13.00000000,          2.91698864
         14.00000000,          2.97820412
         15.00000000,          3.04258252
         16.00000000,          3.10992744
         17.00000000,          3.18005040
         18.00000000,          3.25277175
         19.00000000,          3.32792116
         20.00000000,          3.40533787
         21.00000000,          3.48487079
         22.00000000,          3.56637834
         23.00000000,          3.64972823
         24.00000000,          3.73479711
         25.00000000,          3.82147019
         26.00000000,          3.90964078
         27.00000000,          3.99920982
         28.00000000,          4.09008545
         29.00000000,          4.18218250
         30.00000000,          4.27542203
         31.00000000,          4.36973092
         32.00000000,          4.46504139
         33.00000000,          4.56129067
         34.00000000,          4.65842057
         35.00000000,          4.75637714
         36.00000000,          4.85511033
         37.00000000,          4.95457373
         38.00000000,          5.05472422
         39.00000000,          5.15552177
         40.00000000,          5.25692915
         41.00000000,          5.35891175
         42.00000000,          5.46143734
         43.00000000,          5.56447590
         44.00000000,          5.66799947
         45.00000000,          5.77198194
         46.00000000,          5.87639896
         47.00000000,          5.98122776
         48.00000000,          6.08644707
         49.00000000,          6.19203698
         50.00000000,          6.29797886
         51.00000000,          6.40425523
         52.00000000,          6.51084971
         53.00000000,          6.61774694
         54.00000000,          6.72493247
         55.00000000,          6.83239274
         56.00000000,          6.94011499
         57.00000000,          7.04808720
         58.00000000,          7.15629806
         59.00000000,          7.26473690
         60.00000000,          7.37339367
         61.00000000,          7.48225888
         62.00000000,          7.59132354
         63.00000000,          7.70057920
         64.00000000,          7.81001783
         65.00000000,          7.91963185
         66.00000000,          8.02941408
         67.00000000,          8.13935771
         68.00000000,          8.24945628
         69.00000000,          8.35970368
         70.00000000,          8.47009409
         71.00000000,          8.58062199
         72.00000000,          8.69128215
         73.00000000,          8.80206956
         74.00000000,          8.91297949
         75.00000000,          9.02400741
         76.00000000,          9.13514903
         77.00000000,          9.24640025
         78.00000000,          9.35775715
         79.00000000,          9.46921601
         80.00000000,          9.58077327
         81.00000000,          9.69242553
         82.00000000,          9.80416955
