 Hz,A/m,Oe
        162.00000000,       2653.27893966,         33.34208743
        163.00000000,       2637.28354047,         33.14108331
        164.00000000,       2621.47817643,         32.94246724
        165.00000000,       2605.85951064,         32.74619729
        166.00000000,       2590.42428316,         32.55223250
        167.00000000,       2575.16930884,         32.36053283
        168.00000000,       2560.09147518,         32.17105918
        169.00000000,       2545.18774034,         31.98377332
        170.00000000,       2530.45513110,         31.79863789
        171.00000000,       2515.89074100,         31.61561636
        172.00000000,       2501.49172848,         31.43467302
        173.00000000,       2487.25531508,         31.25577297
        174.00000000,       2473.17878374,         31.07888206
        175.00000000,       2459.25947710,         30.90396689
        176.00000000,       2445.49479590,         30.73099480
        177.00000000,       2431.88219743,         30.55993383
        178.00000000,       2418.41919397,         30.39075274
        179.00000000,       2405.10335134,         30.22342092
        180.00000000,       2391.93228752,         30.05790845
        181.00000000,       2378.90367119,         29.89418602
        182.00000000,       2366.01522049,         29.73222497
        183.00000000,       2353.26470166,         29.57199722
        184.00000000,       2340.64992780,         29.41347529
        185.00000000,       2328.16875768,         29.25663228
        186.00000000,       2315.81909456,         29.10144183
        187.00000000,       2303.59888501,         28.94787814
        188.00000000,       2291.50611785,         28.79591594
        189.00000000,       2279.53882307,         28.64553048
        190.00000000,       2267.69507076,         28.49669749
        191.00000000,       2255.97297013,         28.34939323
        192.00000000,       2244.37066853,         28.20359440
        193.00000000,       2232.88635048,         28.05927820
        194.00000000,       2221.51823677,         27.91642227
        195.00000000,       2210.26458355,         27.77500469
        196.00000000,       2199.12368147,         27.63500398
        197.00000000,       2188.09385483,         27.49639908
        198.00000000,       2177.17346078,         27.35916936
        199.00000000,       2166.36088849,         27.22329457
        200.00000000,       2155.65455842,         27.08875485
        201.00000000,       2145.05292151,         26.95553075
        202.00000000,       2134.55445853,         26.82360317
        203.00000000,       2124.15767930,         26.69295338
        204.00000000,       2113.86112207,         26.56356303
        205.00000000,       2103.66335276,         26.43541407
        206.00000000,       2093.56296440,         26.30848885
        207.00000000,       2083.55857646,         26.18277000
        208.00000000,       2073.64883422,         26.05824050
        209.00000000,       2063.83240820,         25.93488365
        210.00000000,       2054.10799355,         25.81268305
        211.00000000,       2044.47430954,         25.69162260
        212.00000000,       2034.93009892,         25.57168651
        213.00000000,       2025.47412749,         25.45285926
        214.00000000,       2016.10518348,         25.33512564
        215.00000000,       2006.82207713,         25.21847068
        216.00000000,       1997.62364012,         25.10287971
        217.00000000,       1988.50872515,         24.98833831
        218.00000000,       1979.47620546,         24.87483231
        219.00000000,       1970.52497432,         24.76234782
        220.00000000,       1961.65394469,         24.65087117
        221.00000000,       1952.86204869,         24.54038895
        222.00000000,       1944.14823724,         24.43088796
        223.00000000,       1935.51147962,         24.32235526
        224.00000000,       1926.95076310,         24.21477812
        225.00000000,       1918.46509252,         24.10814403
        226.00000000,       1910.05348993,         24.00244072
        227.00000000,       1901.71499423,         23.89765609
        228.00000000,       1893.44866079,         23.79377827
        229.00000000,       1885.25356111,         23.69079561
        230.00000000,       1877.12878248,         23.58869663
        231.00000000,       1869.07342765,         23.48747005
        232.00000000,       1861.08661450,         23.38710479
        233.00000000,       1853.16747572,         23.28758996
        234.00000000,       1845.31515850,         23.18891483
        235.00000000,       1837.52882426,         23.09106886
        236.00000000,       1829.80764832,         22.99404170
        237.00000000,       1822.15081963,         22.89782315
        238.00000000,       1814.55754047,         22.80240319
        239.00000000,       1807.02702622,         22.70777195
        240.00000000,       1799.55850506,         22.61391975
        241.00000000,       1792.15121772,         22.52083703
        242.00000000,       1784.80441723,         22.42851441
        243.00000000,       1777.51736868,         22.33694265
        244.00000000,       1770.28934894,         22.24611267
        245.00000000,       1763.11964648,         22.15601553
        246.00000000,       1756.00756112,         22.06664243
        247.00000000,       1748.95240378,         21.97798470
        248.00000000,       1741.95349629,         21.89003384
        249.00000000,       1735.01017117,         21.80278144
        250.00000000,       1728.12177142,         21.71621925
        251.00000000,       1721.28765031,         21.63033915
        252.00000000,       1714.50717118,         21.54513313
        253.00000000,       1707.77970727,         21.46059333
        254.00000000,       1701.10464149,         21.37671197
        255.00000000,       1694.48136626,         21.29348144
        256.00000000,       1687.90928333,         21.21089421
        257.00000000,       1681.38780359,         21.12894287
        258.00000000,       1674.91634691,         21.04762015
        259.00000000,       1668.49434194,         20.96691885
        260.00000000,       1662.12122600,         20.88683191
        261.00000000,       1655.79644486,         20.80735237
        262.00000000,       1649.51945261,         20.72847335
        263.00000000,       1643.28971150,         20.65018812
        264.00000000,       1637.10669182,         20.57249000
        265.00000000,       1630.96987167,         20.49537244
        266.00000000,       1624.87873691,         20.41882898
        267.00000000,       1618.83278095,         20.34285325
        268.00000000,       1612.83150466,         20.26743899
        269.00000000,       1606.87441619,         20.19258001
        270.00000000,       1600.96103087,         20.11827021
        271.00000000,       1595.09087107,         20.04450361
        272.00000000,       1589.26346607,         19.97127427
        273.00000000,       1583.47835194,         19.89857638
        274.00000000,       1577.73507140,         19.82640419
        275.00000000,       1572.03317375,         19.75475203
        276.00000000,       1566.37221469,         19.68361432
        277.00000000,       1560.75175626,         19.61298555
        278.00000000,       1555.17136669,         19.54286031
        279.00000000,       1549.63062031,         19.47323323
        280.00000000,       1544.12909746,         19.40409906
        281.00000000,       1538.66638434,         19.33545258
        282.00000000,       1533.24207293,         19.26728867
        283.00000000,       1527.85576091,         19.19960227
        284.00000000,       1522.50705155,         19.13238841
        285.00000000,       1517.19555357,         19.06564215
        286.00000000,       1511.92088113,         18.99935866
        287.00000000,       1506.68265365,         18.93353315
        288.00000000,       1501.48049580,         18.86816091
        289.00000000,       1496.31403734,         18.80323727
        290.00000000,       1491.18291308,         18.73875766
        291.00000000,       1486.08676277,         18.67471755
        292.00000000,       1481.02523105,         18.61111246
        293.00000000,       1475.99796732,         18.54793800
        294.00000000,       1471.00462568,         18.48518982
        295.00000000,       1466.04486490,         18.42286362
        296.00000000,       1461.11834825,         18.36095519
        297.00000000,       1456.22474350,         18.29946033
        298.00000000,       1451.36372281,         18.23837494
        299.00000000,       1446.53496268,         18.17769495
        300.00000000,       1441.73814387,         18.11741635
        301.00000000,       1436.97295130,         18.05753517
        302.00000000,       1432.23907404,         17.99804751
        303.00000000,       1427.53620519,         17.93894952
        304.00000000,       1422.86404185,         17.88023738
        305.00000000,       1418.22228504,         17.82190734
        306.00000000,       1413.61063964,         17.76395570
        307.00000000,       1409.02881433,         17.70637878
        308.00000000,       1404.47652150,         17.64917298
        309.00000000,       1399.95347726,         17.59233473
        310.00000000,       1395.45940131,         17.53586050
        311.00000000,       1390.99401692,         17.47974683
        312.00000000,       1386.55705086,         17.42399026
        313.00000000,       1382.14823335,         17.36858743
        314.00000000,       1377.76729802,         17.31353497
        315.00000000,       1373.41398182,         17.25882958
        316.00000000,       1369.08802501,         17.20446800
        317.00000000,       1364.78917108,         17.15044701
        318.00000000,       1360.51716671,         17.09676342
        319.00000000,       1356.27176172,         17.04341409
        320.00000000,       1352.05270902,         16.99039590
        321.00000000,       1347.85976456,         16.93770581
        322.00000000,       1343.69268730,         16.88534077
        323.00000000,       1339.55123914,         16.83329780
        324.00000000,       1335.43518490,         16.78157393
        325.00000000,       1331.34429224,         16.73016626
        326.00000000,       1327.27833165,         16.67907189
        327.00000000,       1323.23707641,         16.62828798
        328.00000000,       1319.22030253,         16.57781170
        329.00000000,       1315.22778868,         16.52764029
        330.00000000,       1311.25931624,         16.47777100
        331.00000000,       1307.31466915,         16.42820110
        332.00000000,       1303.39363397,         16.37892792
        333.00000000,       1299.49599977,         16.32994880
        334.00000000,       1295.62155812,         16.28126113
        335.00000000,       1291.77010306,         16.23286232
        336.00000000,       1287.94143106,         16.18474980
        337.00000000,       1284.13534098,         16.13692106
        338.00000000,       1280.35163402,         16.08937360
        339.00000000,       1276.59011372,         16.04210494
        340.00000000,       1272.85058590,         15.99511264
        341.00000000,       1269.13285864,         15.94839430
        342.00000000,       1265.43674223,         15.90194753
        343.00000000,       1261.76204917,         15.85576998
        344.00000000,       1258.10859410,         15.80985931
        345.00000000,       1254.47619379,         15.76421322
        346.00000000,       1250.86466712,         15.71882943
        347.00000000,       1247.27383503,         15.67370570
        348.00000000,       1243.70352050,         15.62883981
        349.00000000,       1240.15354851,         15.58422954
        350.00000000,       1236.62374604,         15.53987274
        351.00000000,       1233.11394199,         15.49576724
        352.00000000,       1229.62396723,         15.45191092
        353.00000000,       1226.15365450,         15.40830168
        354.00000000,       1222.70283841,         15.36493745
        355.00000000,       1219.27135543,         15.32181616
        356.00000000,       1215.85904384,         15.27893578
        357.00000000,       1212.46574373,         15.23629432
        358.00000000,       1209.09129694,         15.19388977
        359.00000000,       1205.73554707,         15.15172017
        360.00000000,       1202.39833943,         15.10978358
        361.00000000,       1199.07952106,         15.06807808
        362.00000000,       1195.77894063,         15.02660176
        363.00000000,       1192.49644849,         14.98535275
        364.00000000,       1189.23189662,         14.94432918
        365.00000000,       1185.98513860,         14.90352921
        366.00000000,       1182.75602959,         14.86295103
        367.00000000,       1179.54442634,         14.82259283
        368.00000000,       1176.35018711,         14.78245283
        369.00000000,       1173.17317171,         14.74252928
        370.00000000,       1170.01324144,         14.70282042
        371.00000000,       1166.87025909,         14.66332454
        372.00000000,       1163.74408890,         14.62403993
        373.00000000,       1160.63459657,         14.58496489
        374.00000000,       1157.54164921,         14.54609777
        375.00000000,       1154.46511535,         14.50743690
        376.00000000,       1151.40486489,         14.46898066
        377.00000000,       1148.36076911,         14.43072743
        378.00000000,       1145.33270064,         14.39267559
        379.00000000,       1142.32053344,         14.35482358
        380.00000000,       1139.32414280,         14.31716983
        381.00000000,       1136.34340528,         14.27971277
        382.00000000,       1133.37819874,         14.24245089
        383.00000000,       1130.42840231,         14.20538265
        384.00000000,       1127.49389637,         14.16850656
        385.00000000,       1124.57456252,         14.13182113
        386.00000000,       1121.67028358,         14.09532488
        387.00000000,       1118.78094357,         14.05901636
        388.00000000,       1115.90642772,         14.02289413
        389.00000000,       1113.04662240,         13.98695676
        390.00000000,       1110.20141515,         13.95120283
        391.00000000,       1107.37069465,         13.91563094
        392.00000000,       1104.55435071,         13.88023972
        393.00000000,       1101.75227425,         13.84502779
        394.00000000,       1098.96435729,         13.80999379
        395.00000000,       1096.19049293,         13.77513638
        396.00000000,       1093.43057536,         13.74045423
        397.00000000,       1090.68449980,         13.70594603
        398.00000000,       1087.95216254,         13.67161047
        399.00000000,       1085.23346089,         13.63744625
        400.00000000,       1082.52829318,         13.60345211
        401.00000000,       1079.83655875,         13.56962678
        402.00000000,       1077.15815793,         13.53596900
        403.00000000,       1074.49299204,         13.50247754
        404.00000000,       1071.84096337,         13.46915116
        405.00000000,       1069.20197514,         13.43598866
        406.00000000,       1066.57593156,         13.40298882
        407.00000000,       1063.96273775,         13.37015045
        408.00000000,       1061.36229976,         13.33747239
        409.00000000,       1058.77452454,         13.30495344
        410.00000000,       1056.19931996,         13.27259247
        411.00000000,       1053.63659478,         13.24038831
        412.00000000,       1051.08625862,         13.20833984
        413.00000000,       1048.54822198,         13.17644593
        414.00000000,       1046.02239623,         13.14470547
        415.00000000,       1043.50869357,         13.11311735
        416.00000000,       1041.00702706,         13.08168048
        417.00000000,       1038.51731055,         13.05039378
        418.00000000,       1036.03945876,         13.01925617
        419.00000000,       1033.57338719,         12.98826660
        420.00000000,       1031.11901213,         12.95742401
        421.00000000,       1028.67625068,         12.92672737
        422.00000000,       1026.24502070,         12.89617563
        423.00000000,       1023.82524086,         12.86576778
        424.00000000,       1021.41683055,         12.83550280
        425.00000000,       1019.01970993,         12.80537969
        426.00000000,       1016.63379991,         12.77539746
        427.00000000,       1014.25902214,         12.74555513
        428.00000000,       1011.89529897,         12.71585170
        429.00000000,       1009.54255350,         12.68628623
        430.00000000,       1007.20070953,         12.65685775
        431.00000000,       1004.86969156,         12.62756531
        432.00000000,       1002.54942479,         12.59840798
        433.00000000,       1000.23983510,         12.56938482
        434.00000000,        997.94084905,         12.54049491
        435.00000000,        995.65239387,         12.51173733
        436.00000000,        993.37439747,         12.48311118
        437.00000000,        991.10678840,         12.45461557
        438.00000000,        988.84949585,         12.42624959
        439.00000000,        986.60244968,         12.39801238
        440.00000000,        984.36558035,         12.36990305
        441.00000000,        982.13881897,         12.34192074
        442.00000000,        979.92209726,         12.31406459
        443.00000000,        977.71534756,         12.28633375
        444.00000000,        975.51850281,         12.25872739
        445.00000000,        973.33149656,         12.23124466
        446.00000000,        971.15426292,         12.20388473
        447.00000000,        968.98673663,         12.17664679
        448.00000000,        966.82885298,         12.14953003
        449.00000000,        964.68054785,         12.12253363
        450.00000000,        962.54175767,         12.09565680
        451.00000000,        960.41241945,         12.06889874
        452.00000000,        958.29247072,         12.04225868
        453.00000000,        956.18184961,         12.01573583
        454.00000000,        954.08049475,         11.98932943
        455.00000000,        951.98834532,         11.96303870
        456.00000000,        949.90534103,         11.93686290
        457.00000000,        947.83142212,         11.91080126
        458.00000000,        945.76652934,         11.88485305
        459.00000000,        943.71060396,         11.85901753
        460.00000000,        941.66358776,         11.83329397
        461.00000000,        939.62542301,         11.80768163
        462.00000000,        937.59605250,         11.78217981
        463.00000000,        935.57541948,         11.75678779
        464.00000000,        933.56346771,         11.73150485
        465.00000000,        931.56014142,         11.70633031
        466.00000000,        929.56538533,         11.68126347
        467.00000000,        927.57914462,         11.65630363
        468.00000000,        925.60136493,         11.63145012
        469.00000000,        923.63199238,         11.60670225
        470.00000000,        921.67097353,         11.58205936
        471.00000000,        919.71825538,         11.55752078
        472.00000000,        917.77378542,         11.53308585
        473.00000000,        915.83751154,         11.50875391
        474.00000000,        913.90938209,         11.48452432
        475.00000000,        911.98934584,         11.46039644
        476.00000000,        910.07735199,         11.43636961
        477.00000000,        908.17335017,         11.41244322
        478.00000000,        906.27729043,         11.38861663
        479.00000000,        904.38912322,         11.36488922
        480.00000000,        902.50879943,         11.34126037
        481.00000000,        900.63627033,         11.31772948
        482.00000000,        898.77148760,         11.29429593
        483.00000000,        896.91440332,         11.27095912
        484.00000000,        895.06496996,         11.24771845
        485.00000000,        893.22314039,         11.22457334
        486.00000000,        891.38886785,         11.20152319
        487.00000000,        889.56210598,         11.17856742
        488.00000000,        887.74280878,         11.15570546
        489.00000000,        885.93093065,         11.13293672
        490.00000000,        884.12642633,         11.11026065
        491.00000000,        882.32925094,         11.08767668
        492.00000000,        880.53935998,         11.06518425
        493.00000000,        878.75670927,         11.04278280
        494.00000000,        876.98125503,         11.02047178
        495.00000000,        875.21295381,         10.99825065
        496.00000000,        873.45176250,         10.97611887
        497.00000000,        871.69763835,         10.95407589
        498.00000000,        869.95053895,         10.93212119
        499.00000000,        868.21042223,         10.91025424
        500.00000000,        866.47724644,         10.88847451
        501.00000000,        864.75097018,         10.86678148
        502.00000000,        863.03155237,         10.84517464
        503.00000000,        861.31895225,         10.82365347
        504.00000000,        859.61312940,         10.80221747
        505.00000000,        857.91404370,         10.78086613
        506.00000000,        856.22165535,         10.75959895
        507.00000000,        854.53592487,         10.73841543
        508.00000000,        852.85681308,         10.71731509
        509.00000000,        851.18428111,         10.69629744
        510.00000000,        849.51829041,         10.67536198
        511.00000000,        847.85880269,         10.65450824
        512.00000000,        846.20578001,         10.63373574
        513.00000000,        844.55918467,         10.61304402
        514.00000000,        842.91897931,         10.59243259
        515.00000000,        841.28512683,         10.57190099
        516.00000000,        839.65759043,         10.55144876
        517.00000000,        838.03633358,         10.53107545
        518.00000000,        836.42132004,         10.51078059
        519.00000000,        834.81251385,         10.49056373
        520.00000000,        833.20987932,         10.47042443
        521.00000000,        831.61338104,         10.45036224
        522.00000000,        830.02298387,         10.43037672
        523.00000000,        828.43865292,         10.41046743
        524.00000000,        826.86035358,         10.39063394
        525.00000000,        825.28805151,         10.37087581
        526.00000000,        823.72171261,         10.35119261
        527.00000000,        822.16130306,         10.33158393
        528.00000000,        820.60678927,         10.31204933
        529.00000000,        819.05813793,         10.29258840
        530.00000000,        817.51531597,         10.27320073
        531.00000000,        815.97829054,         10.25388590
        532.00000000,        814.44702909,         10.23464350
        533.00000000,        812.92149927,         10.21547312
        534.00000000,        811.40166898,         10.19637437
        535.00000000,        809.88750638,         10.17734684
        536.00000000,        808.37897984,         10.15839014
        537.00000000,        806.87605798,         10.13950387
        538.00000000,        805.37870964,         10.12068763
        539.00000000,        803.88690392,         10.10194105
        540.00000000,        802.40061010,         10.08326373
        541.00000000,        800.91979773,         10.06465529
        542.00000000,        799.44443657,         10.04611536
        543.00000000,        797.97449658,         10.02764354
        544.00000000,        796.50994797,         10.00923948
        545.00000000,        795.05076116,          9.99090280
        546.00000000,        793.59690678,          9.97263313
        547.00000000,        792.14835566,          9.95443010
        548.00000000,        790.70507888,          9.93629334
        549.00000000,        789.26704770,          9.91822251
        550.00000000,        787.83423360,          9.90021724
        551.00000000,        786.40660825,          9.88227717
        552.00000000,        784.98414355,          9.86440195
        553.00000000,        783.56681159,          9.84659123
        554.00000000,        782.15458464,          9.82884466
        555.00000000,        780.74743522,          9.81116190
        556.00000000,        779.34533599,          9.79354260
        557.00000000,        777.94825985,          9.77598642
        558.00000000,        776.55617986,          9.75849303
        559.00000000,        775.16906930,          9.74106208
        560.00000000,        773.78690162,          9.72369325
        561.00000000,        772.40965047,          9.70638620
        562.00000000,        771.03728968,          9.68914061
        563.00000000,        769.66979327,          9.67195614
        564.00000000,        768.30713545,          9.65483248
        565.00000000,        766.94929059,          9.63776930
        566.00000000,        765.59623325,          9.62076628
        567.00000000,        764.24793820,          9.60382310
        568.00000000,        762.90438033,          9.58693945
        569.00000000,        761.56553475,          9.57011502
        570.00000000,        760.23137674,          9.55334950
        571.00000000,        758.90188172,          9.53664257
        572.00000000,        757.57702532,          9.51999393
        573.00000000,        756.25678332,          9.50340328
        574.00000000,        754.94113167,          9.48687032
        575.00000000,        753.63004648,          9.47039473
        576.00000000,        752.32350405,          9.45397624
        577.00000000,        751.02148082,          9.43761453
        578.00000000,        749.72395339,          9.42130932
        579.00000000,        748.43089855,          9.40506031
        580.00000000,        747.14229321,          9.38886722
        581.00000000,        745.85811447,          9.37272975
        582.00000000,        744.57833958,          9.35664763
        583.00000000,        743.30294593,          9.34062056
        584.00000000,        742.03191108,          9.32464826
        585.00000000,        740.76521274,          9.30873046
        586.00000000,        739.50282877,          9.29286688
        587.00000000,        738.24473718,          9.27705723
        588.00000000,        736.99091613,          9.26130125
        589.00000000,        735.74134393,          9.24559866
        590.00000000,        734.49599902,          9.22994920
        591.00000000,        733.25486001,          9.21435258
        592.00000000,        732.01790565,          9.19880855
        593.00000000,        730.78511481,          9.18331685
        594.00000000,        729.55646653,          9.16787720
        595.00000000,        728.33193998,          9.15248934
        596.00000000,        727.11151445,          9.13715302
        597.00000000,        725.89516941,          9.12186798
        598.00000000,        724.68288443,          9.10663396
        599.00000000,        723.47463922,          9.09145070
        600.00000000,        722.27041366,          9.07631795
        601.00000000,        721.07018771,          9.06123547
        602.00000000,        719.87394150,          9.04620300
        603.00000000,        718.68165529,          9.03122029
        604.00000000,        717.49330945,          9.01628709
        605.00000000,        716.30888450,          9.00140317
        606.00000000,        715.12836107,          8.98656827
        607.00000000,        713.95171993,          8.97178216
        608.00000000,        712.77894197,          8.95704460
        609.00000000,        711.61000822,          8.94235534
        610.00000000,        710.44489980,          8.92771416
        611.00000000,        709.28359800,          8.91312081
        612.00000000,        708.12608419,          8.89857506
        613.00000000,        706.97233988,          8.88407668
        614.00000000,        705.82234670,          8.86962544
        615.00000000,        704.67608640,          8.85522111
        616.00000000,        703.53354083,          8.84086346
        617.00000000,        702.39469200,          8.82655226
        618.00000000,        701.25952199,          8.81228730
        619.00000000,        700.12801301,          8.79806833
        620.00000000,        699.00014740,          8.78389516
        621.00000000,        697.87590760,          8.76976754
        622.00000000,        696.75527617,          8.75568527
        623.00000000,        695.63823576,          8.74164813
        624.00000000,        694.52476915,          8.72765589
        625.00000000,        693.41485924,          8.71370835
        626.00000000,        692.30848902,          8.69980529
        627.00000000,        691.20564159,          8.68594650
        628.00000000,        690.10630016,          8.67213177
        629.00000000,        689.01044806,          8.65836089
        630.00000000,        687.91806870,          8.64463364
        631.00000000,        686.82914561,          8.63094983
        632.00000000,        685.74366243,          8.61730925
        633.00000000,        684.66160289,          8.60371169
        634.00000000,        683.58295083,          8.59015694
        635.00000000,        682.50769018,          8.57664482
        636.00000000,        681.43580500,          8.56317511
        637.00000000,        680.36727940,          8.54974762
        638.00000000,        679.30209765,          8.53636216
        639.00000000,        678.24024406,          8.52301851
        640.00000000,        677.18170309,          8.50971649
        641.00000000,        676.12645925,          8.49645591
        642.00000000,        675.07449718,          8.48323656
        643.00000000,        674.02580160,          8.47005826
